Block Size,Insertion Sort Best Case (ms),Insertion Sort Worst Case (ms),Selection Sort Best Case (ms),Selection Sort Worst Case (ms)
15600,0.00,364.00,372.00,274.00
15700,0.00,352.00,332.00,331.00
15800,0.00,389.00,319.00,253.00
15900,0.00,286.00,270.00,242.00
16000,0.00,276.00,264.00,246.00
16100,2.00,269.00,265.00,245.00
16200,1.00,283.00,275.00,247.00
16300,1.00,276.00,283.00,240.00
16400,0.00,266.00,271.00,241.00
16500,0.00,276.00,271.00,245.00
16600,0.00,283.00,274.00,247.00
16700,0.00,277.00,278.00,249.00
16800,0.00,282.00,282.00,253.00
16900,0.00,286.00,286.00,257.00
17000,0.00,285.00,287.00,267.00
17100,0.00,288.00,290.00,263.00
17200,0.00,292.00,292.00,268.00
17300,0.00,296.00,298.00,268.00
17400,0.00,298.00,309.00,276.00
17500,0.00,301.00,308.00,277.00
17600,0.00,311.00,309.00,279.00
17700,0.00,309.00,311.00,282.00
17800,0.00,311.00,317.00,285.00
17900,0.00,315.00,322.00,287.00
18000,0.00,326.00,331.00,295.00
18100,0.00,342.00,329.00,306.00
18200,0.00,328.00,327.00,299.00
18300,0.00,331.00,332.00,303.00
18400,0.00,336.00,335.00,304.00
18500,0.00,342.00,343.00,315.00
18600,0.00,351.00,345.00,311.00
18700,0.00,352.00,355.00,319.00
18800,0.00,356.00,355.00,325.00
18900,1.00,352.00,354.00,346.00
19000,0.00,360.00,358.00,324.00
19100,0.00,365.00,363.00,334.00
19200,0.00,363.00,366.00,331.00
19300,0.00,376.00,372.00,341.00
19400,0.00,385.00,378.00,347.00
19500,0.00,376.00,378.00,340.00
19600,0.00,378.00,382.00,344.00
19700,0.00,382.00,385.00,348.00
19800,0.00,385.00,389.00,350.00
19900,0.00,389.00,395.00,355.00
20000,0.00,399.00,397.00,360.00
20100,0.00,399.00,400.00,363.00
20200,0.00,403.00,404.00,367.00
20300,0.00,406.00,409.00,380.00
20400,0.00,409.00,415.00,373.00
20500,1.00,413.00,416.00,380.00
20600,0.00,418.00,423.00,382.00
20700,0.00,426.00,425.00,385.00
20800,0.00,427.00,432.00,390.00
20900,0.00,439.00,433.00,393.00
21000,0.00,435.00,438.00,396.00
21100,0.00,452.00,442.00,399.00
21200,0.00,442.00,449.00,404.00
21300,0.00,447.00,455.00,407.00
21400,0.00,451.00,456.00,418.00
21500,0.00,460.00,461.00,414.00
21600,0.00,463.00,462.00,418.00
21700,0.00,471.00,468.00,421.00
21800,0.00,469.00,471.00,426.00
21900,0.00,508.00,475.00,432.00
22000,1.00,475.00,481.00,433.00
22100,0.00,482.00,485.00,438.00
22200,0.00,495.00,489.00,442.00
22300,0.00,492.00,494.00,446.00
22400,0.00,504.00,497.00,453.00
22500,1.00,500.00,501.00,453.00
22600,0.00,504.00,513.00,458.00
22700,0.00,511.00,512.00,464.00
22800,0.00,524.00,515.00,466.00
22900,0.00,517.00,519.00,480.00
23000,0.00,522.00,525.00,476.00
23100,0.00,525.00,528.00,484.00
23200,0.00,529.00,539.00,484.00
23300,0.00,534.00,538.00,488.00
23400,0.00,538.00,542.00,490.00
23500,0.00,563.00,555.00,501.00
23600,0.00,547.00,553.00,500.00
23700,0.00,557.00,556.00,503.00
23800,0.00,559.00,562.00,513.00
23900,0.00,587.00,568.00,511.00
24000,0.00,571.00,569.00,517.00
24100,0.00,570.00,576.00,520.00
24200,0.00,577.00,579.00,527.00
24300,0.00,581.00,585.00,531.00
24400,0.00,600.00,589.00,538.00
24500,0.00,596.00,605.00,547.00
24600,0.00,594.00,600.00,549.00
24700,0.00,601.00,605.00,555.00
24800,0.00,613.00,610.00,551.00
24900,0.00,623.00,614.00,565.00
25000,0.00,615.00,620.00,560.00
25100,0.00,624.00,625.00,570.00
25200,0.00,626.00,630.00,569.00
25300,0.00,633.00,633.00,575.00
25400,0.00,636.00,641.00,580.00
25500,0.00,641.00,643.00,583.00
25600,1.00,651.00,650.00,589.00
25700,0.00,652.00,654.00,593.00
25800,1.00,669.00,660.00,597.00
25900,0.00,658.00,665.00,602.00
26000,0.00,663.00,668.00,606.00
26100,0.00,673.00,679.00,615.00
26200,0.00,680.00,681.00,615.00
26300,0.00,684.00,686.00,627.00
26400,0.00,702.00,691.00,626.00
26500,0.00,690.00,695.00,631.00
26600,0.00,708.00,703.00,638.00
26700,0.00,707.00,705.00,639.00
26800,0.00,707.00,712.00,644.00
26900,0.00,711.00,719.00,651.00
27000,0.00,725.00,723.00,652.00
27100,1.00,726.00,727.00,658.00
27200,0.00,728.00,733.00,663.00
27300,0.00,735.00,738.00,669.00
27400,0.00,747.00,747.00,673.00
27500,0.00,757.00,747.00,677.00
27600,0.00,760.00,757.00,681.00
27700,0.00,754.00,762.00,687.00
27800,0.00,768.00,768.00,694.00
27900,0.00,765.00,771.00,698.00
28000,0.00,771.00,777.00,704.00
28100,0.00,796.00,785.00,709.00
28200,0.00,786.00,787.00,713.00
28300,0.00,789.00,826.00,720.00
28400,0.00,793.00,797.00,723.00
28500,0.00,799.00,802.00,728.00
28600,0.00,806.00,826.00,741.00
28700,0.00,816.00,843.00,742.00
28800,0.00,819.00,825.00,744.00
28900,0.00,830.00,831.00,752.00
29000,0.00,828.00,834.00,756.00
29100,0.00,857.00,842.00,800.00
29200,0.00,839.00,844.00,765.00
29300,0.00,845.00,851.00,771.00
29400,0.00,874.00,913.00,928.00
29500,0.00,942.00,908.00,787.00
29600,1.00,868.00,871.00,805.00
29700,0.00,869.00,875.00,792.00
29800,0.00,873.00,882.00,804.00
29900,0.00,881.00,894.00,805.00
30000,0.00,898.00,892.00,817.00
30100,1.00,934.00,909.00,815.00
30200,1.00,899.00,920.00,881.00
30300,0.00,999.00,1035.00,877.00
30400,0.00,981.00,962.00,898.00
30500,0.00,972.00,935.00,835.00
30600,0.00,928.00,930.00,849.00
30700,0.00,936.00,935.00,846.00
30800,0.00,933.00,947.00,853.00
30900,1.00,953.00,1153.00,1195.00
31000,0.00,1200.00,1140.00,1001.00
31100,0.00,1158.00,1087.00,1034.00
31200,0.00,1041.00,1053.00,967.00
31300,0.00,1074.00,1064.00,958.00
31400,0.00,1107.00,1069.00,977.00
31500,0.00,1083.00,1089.00,987.00
31600,0.00,1180.00,1088.00,965.00
31700,0.00,1040.00,1032.00,959.00
31800,0.00,1021.00,1014.00,941.00
31900,0.00,1037.00,1037.00,971.00
32000,0.00,1152.00,1045.00,941.00
32100,0.00,1093.00,1047.00,990.00
32200,0.00,1109.00,1123.00,966.00
32300,0.00,1029.00,1039.00,963.00
32400,0.00,1042.00,1026.00,930.00
32500,0.00,1028.00,1030.00,938.00
32600,0.00,1036.00,1050.00,967.00
32700,0.00,1107.00,1044.00,947.00
32800,0.00,1066.00,1422.00,1341.00
32900,0.00,1144.00,1121.00,997.00
33000,0.00,1112.00,1141.00,1055.00
33100,0.00,1141.00,1122.00,1045.00
33200,0.00,1141.00,1182.00,1083.00
33300,0.00,1184.00,1175.00,1106.00
33400,0.00,1287.00,1227.00,1109.00
33500,0.00,1258.00,1201.00,1093.00
33600,0.00,1214.00,1201.00,1159.00
33700,0.00,1253.00,1366.00,1146.00
33800,0.00,1241.00,1356.00,1177.00
33900,0.00,1440.00,1373.00,1184.00
34000,0.00,1305.00,1374.00,1158.00
34100,0.00,1300.00,1388.00,1285.00
34200,0.00,1392.00,1314.00,1125.00
34300,0.00,1597.00,1562.00,1485.00
34400,0.00,1365.00,1327.00,1154.00
34500,0.00,1227.00,1218.00,1282.00
34600,1.00,1348.00,1299.00,1250.00
34700,0.00,1535.00,1320.00,1422.00
34800,1.00,1362.00,1395.00,1363.00
34900,1.00,1429.00,1363.00,1273.00
35000,0.00,1346.00,1505.00,1252.00
35100,0.00,1519.00,1434.00,1221.00
35200,0.00,1352.00,1389.00,1337.00
35300,0.00,1681.00,1491.00,1826.00
35400,0.00,1917.00,1462.00,1191.00
35500,0.00,1337.00,1362.00,1240.00
35600,0.00,1364.00,1388.00,1347.00
35700,0.00,1579.00,1470.00,1360.00
35800,0.00,1517.00,1367.00,1229.00
35900,0.00,1383.00,1381.00,1200.00
36000,0.00,1383.00,1352.00,1242.00
36100,0.00,1402.00,1357.00,1222.00
36200,0.00,1359.00,1354.00,1238.00
36300,0.00,1333.00,1326.00,1212.00
36400,0.00,1356.00,1345.00,1203.00
36500,0.00,1298.00,1308.00,1197.00
36600,0.00,1307.00,1314.00,1193.00
36700,0.00,1337.00,1326.00,1195.00
36800,0.00,1321.00,1336.00,1250.00
36900,0.00,1705.00,1374.00,1212.00
37000,0.00,1358.00,1343.00,1216.00
37100,0.00,1355.00,1356.00,1227.00
37200,0.00,1348.00,1355.00,1228.00
37300,0.00,1382.00,1366.00,1258.00
37400,0.00,1367.00,1414.00,1311.00
37500,1.00,1465.00,1379.00,1242.00
37600,0.00,1403.00,1388.00,1252.00
37700,0.00,1432.00,1415.00,1264.00
37800,0.00,1452.00,1398.00,1277.00
37900,0.00,1411.00,1405.00,1276.00
38000,0.00,1401.00,1410.00,1277.00
38100,1.00,1410.00,1420.00,1285.00
38200,0.00,1428.00,1427.00,1289.00
38300,1.00,1454.00,1463.00,1361.00
38400,1.00,1479.00,1482.00,1367.00
38500,0.00,1457.00,1446.00,1311.00
38600,0.00,1510.00,1459.00,1374.00
38700,0.00,1469.00,1494.00,1341.00
38800,0.00,1513.00,1498.00,1349.00
38900,0.00,1495.00,1504.00,1361.00
39000,0.00,1498.00,1508.00,1389.00
39100,0.00,1551.00,1514.00,1370.00
39200,0.00,1510.00,1518.00,1381.00
39300,0.00,1529.00,1536.00,1384.00
39400,0.00,1527.00,1538.00,1402.00
39500,0.00,1612.00,1546.00,1396.00
39600,0.00,1544.00,1549.00,1405.00
39700,0.00,1565.00,1579.00,1423.00
39800,0.00,1560.00,1573.00,1419.00
39900,0.00,1567.00,1573.00,1425.00
40000,0.00,1575.00,1585.00,1437.00
40100,0.00,1580.00,1588.00,1439.00
40200,0.00,1645.00,1601.00,1452.00
40300,0.00,1604.00,1604.00,1457.00
40400,0.00,1619.00,1616.00,1462.00
40500,0.00,1614.00,1620.00,1512.00
40600,0.00,1641.00,1646.00,1504.00
40700,0.00,1639.00,1643.00,1481.00
40800,0.00,1638.00,1646.00,1491.00
40900,0.00,1647.00,1652.00,1497.00
41000,0.00,1662.00,1670.00,1532.00
41100,0.00,1707.00,1684.00,1513.00
41200,0.00,1702.00,1684.00,1522.00
41300,0.00,1718.00,1686.00,1526.00
41400,0.00,1689.00,1697.00,1560.00
41500,0.00,1693.00,1704.00,1541.00
41600,0.00,1703.00,1743.00,1558.00
41700,0.00,1712.00,1724.00,1555.00
41800,0.00,1740.00,1768.00,1563.00
41900,0.00,1724.00,1736.00,1571.00
42000,0.00,1752.00,1746.00,1582.00
42100,0.00,1742.00,1759.00,1594.00
42200,0.00,1766.00,1770.00,1615.00
42300,0.00,1773.00,1781.00,1608.00
42400,0.00,1769.00,1779.00,1615.00
42500,0.00,1776.00,1784.00,1615.00
42600,0.00,1858.00,1795.00,1626.00
42700,0.00,1845.00,1802.00,1644.00
42800,0.00,1820.00,1819.00,1650.00
42900,0.00,1811.00,1819.00,1651.00
43000,1.00,1822.00,1828.00,1655.00
43100,0.00,1851.00,1838.00,1679.00
43200,0.00,1849.00,1849.00,1670.00
43300,0.00,1843.00,1855.00,1687.00
43400,0.00,1860.00,1862.00,1688.00
43500,0.00,1875.00,1872.00,1700.00
43600,0.00,1869.00,1877.00,1701.00
43700,0.00,1911.00,1905.00,1737.00
43800,1.00,1921.00,1904.00,1741.00
43900,0.00,1904.00,1921.00,1743.00
44000,0.00,1931.00,1914.00,1742.00
44100,0.00,1948.00,1922.00,1740.00
44200,0.00,1929.00,1952.00,1753.00
44300,0.00,1935.00,1962.00,1782.00
44400,1.00,1996.00,1982.00,1775.00
44500,0.00,1974.00,1960.00,1776.00
44600,0.00,1958.00,1968.00,1794.00
44700,0.00,1965.00,1976.00,1790.00
44800,0.00,2027.00,2002.00,1806.00
44900,0.00,1982.00,1994.00,1823.00
45000,0.00,2020.00,2006.00,1824.00
45100,0.00,2094.00,2016.00,1845.00
45200,0.00,2009.00,2021.00,1834.00
45300,0.00,2023.00,2028.00,1840.00
45400,1.00,2025.00,2038.00,1847.00
45500,0.00,2059.00,2046.00,1857.00
45600,0.00,2081.00,2057.00,1862.00
45700,0.00,2106.00,2064.00,1892.00
45800,0.00,2061.00,2070.00,1877.00
45900,0.00,2073.00,2081.00,1889.00
46000,0.00,2127.00,2092.00,1917.00
46100,0.00,2119.00,2136.00,1912.00
46200,0.00,2124.00,2114.00,1912.00
46300,0.00,2124.00,2119.00,1928.00
46400,0.00,2121.00,2190.00,1960.00
46500,0.00,2135.00,2139.00,1938.00
46600,0.00,2150.00,2152.00,1949.00
46700,0.00,2146.00,2155.00,1952.00
46800,0.00,2153.00,2164.00,1966.00
46900,0.00,2169.00,2174.00,1986.00
47000,0.00,2213.00,2186.00,1979.00
47100,0.00,2190.00,2198.00,1988.00
47200,0.00,2193.00,2206.00,1996.00
47300,1.00,2205.00,2212.00,2004.00
47400,0.00,2215.00,2232.00,2014.00
47500,0.00,2253.00,2233.00,2032.00
47600,0.00,2305.00,2238.00,2027.00
47700,0.00,2238.00,2251.00,2034.00
47800,0.00,2264.00,2260.00,2044.00
47900,0.00,2272.00,2268.00,2057.00
48000,0.00,2275.00,2280.00,2061.00
48100,0.00,2279.00,2290.00,2069.00
48200,0.00,2286.00,2297.00,2078.00
48300,0.00,2296.00,2331.00,2091.00
48400,0.00,2303.00,2315.00,2096.00
48500,0.00,2338.00,2326.00,2103.00
48600,0.00,2328.00,2374.00,2137.00
48700,0.00,2390.00,2344.00,2168.00
48800,0.00,2405.00,2357.00,2137.00
48900,0.00,2380.00,2371.00,2147.00
49000,1.00,2361.00,2374.00,2201.00
49100,0.00,2436.00,2397.00,2176.00
49200,0.00,2393.00,2408.00,2167.00
49300,0.00,2391.00,2402.00,2176.00
49400,0.00,2397.00,2415.00,2184.00
49500,0.00,2408.00,2425.00,2194.00
49600,0.00,2416.00,2442.00,2228.00
49700,0.00,2430.00,2445.00,2226.00
49800,1.00,2441.00,2456.00,2225.00
49900,0.00,2463.00,2478.00,2260.00
50000,0.00,2505.00,2471.00,2258.00
50100,0.00,2496.00,2480.00,2245.00
50200,0.00,2479.00,2490.00,2255.00
50300,0.00,2488.00,2504.00,2265.00
50400,0.00,2499.00,2512.00,2295.00
50500,0.00,2524.00,2533.00,2314.00
50600,1.00,2545.00,2530.00,2297.00
50700,0.00,2525.00,2555.00,2370.00
50800,0.00,2541.00,2548.00,2331.00
50900,0.00,2560.00,2559.00,2320.00
51000,0.00,2595.00,2593.00,2332.00
51100,0.00,2567.00,2579.00,2337.00
51200,0.00,2578.00,2649.00,2366.00
51300,1.00,2601.00,2607.00,2371.00
51400,0.00,2642.00,2618.00,2372.00
51500,0.00,2608.00,2622.00,2372.00
51600,0.00,2619.00,2634.00,2383.00
51700,0.00,2664.00,2659.00,2396.00
51800,0.00,2650.00,2656.00,2401.00
51900,0.00,2661.00,2665.00,2410.00
52000,0.00,2754.00,2675.00,2433.00
52100,0.00,2698.00,2686.00,2435.00
52200,1.00,2698.00,2696.00,2441.00
52300,0.00,2692.00,2708.00,2446.00
52400,1.00,2701.00,2714.00,2470.00
52500,0.00,2717.00,2726.00,2472.00
52600,1.00,2746.00,2745.00,2516.00
52700,0.00,2784.00,2754.00,2490.00
52800,0.00,2763.00,2782.00,2504.00
52900,0.00,2759.00,2777.00,2545.00
53000,0.00,2816.00,2843.00,2520.00
53100,0.00,2787.00,2791.00,2532.00
53200,0.00,2798.00,2818.00,2534.00
53300,0.00,2798.00,2807.00,2543.00
53400,0.00,2808.00,2835.00,2556.00
53500,0.00,2818.00,2829.00,2573.00
53600,0.00,2864.00,2838.00,2585.00
53700,0.00,2840.00,2852.00,2590.00
53800,0.00,2849.00,2859.00,2588.00
53900,0.00,2870.00,2869.00,2614.00
54000,0.00,2871.00,2882.00,2616.00
54100,0.00,2942.00,2900.00,2618.00
54200,0.00,2907.00,2906.00,2658.00
54300,0.00,2986.00,2916.00,2686.00
54400,1.00,2994.00,2962.00,2725.00
54500,0.00,2926.00,2938.00,2659.00
54600,0.00,2945.00,2946.00,2697.00
54700,0.00,2962.00,2972.00,2677.00
54800,0.00,2955.00,2968.00,2687.00
54900,0.00,2970.00,2983.00,2701.00
55000,0.00,3016.00,2995.00,2746.00
55100,0.00,3054.00,3006.00,2757.00
55200,0.00,3008.00,3016.00,2724.00
55300,0.00,3015.00,3021.00,2746.00
55400,0.00,3052.00,3036.00,2745.00
55500,0.00,3071.00,3046.00,2764.00
55600,0.00,3045.00,3055.00,2792.00
55700,1.00,3103.00,3072.00,2778.00
55800,1.00,3063.00,3100.00,2788.00
55900,1.00,3075.00,3097.00,2796.00
56000,1.00,3143.00,3106.00,2808.00
56100,0.00,3127.00,3114.00,2852.00
56200,1.00,3182.00,3147.00,2844.00
56300,0.00,3167.00,3173.00,2857.00
56400,0.00,3195.00,3241.00,2890.00
56500,0.00,3148.00,3193.00,2904.00
56600,1.00,3209.00,3171.00,2916.00
56700,1.00,3220.00,3177.00,2877.00
56800,0.00,3197.00,3192.00,2891.00
56900,0.00,3190.00,3197.00,2897.00
57000,0.00,3234.00,3220.00,2927.00
57100,1.00,3212.00,3223.00,2918.00
57200,0.00,3221.00,3235.00,2929.00
57300,0.00,3322.00,3262.00,2968.00
57400,0.00,3248.00,3263.00,2952.00
57500,0.00,3267.00,3266.00,2977.00
57600,0.00,3308.00,3305.00,3001.00
57700,0.00,3524.00,3574.00,2980.00
57800,0.00,3431.00,3314.00,2990.00
57900,0.00,3331.00,3313.00,3077.00
58000,0.00,3318.00,3328.00,3016.00
58100,1.00,3316.00,3338.00,3027.00
58200,0.00,3337.00,3347.00,3057.00
58300,0.00,3358.00,3368.00,3090.00
58400,0.00,3375.00,3376.00,3050.00
58500,1.00,3384.00,3390.00,3079.00
58600,0.00,3381.00,3396.00,3072.00
58700,0.00,3450.00,3410.00,3085.00
58800,0.00,3483.00,3440.00,3111.00
58900,0.00,3415.00,3433.00,3111.00
59000,0.00,3426.00,3443.00,3182.00
59100,0.00,3443.00,3462.00,3129.00
59200,1.00,3450.00,3463.00,3133.00
59300,0.00,3498.00,3517.00,3153.00
59400,0.00,3476.00,3505.00,3229.00
59500,0.00,3654.00,3499.00,3176.00
59600,0.00,3503.00,3521.00,3212.00
59700,0.00,3507.00,3525.00,3205.00
59800,0.00,3588.00,3555.00,3202.00
59900,0.00,3700.00,3553.00,3216.00
60000,1.00,3555.00,3561.00,3232.00
60100,0.00,3595.00,3573.00,3238.00
60200,0.00,3704.00,3586.00,3261.00
60300,0.00,3589.00,3611.00,3269.00
60400,0.00,3679.00,3628.00,3338.00
60500,0.00,3599.00,3621.00,3355.00
60600,0.00,3695.00,3737.00,3399.00
60700,0.00,3671.00,3641.00,3297.00
60800,0.00,3750.00,3651.00,3312.00
60900,0.00,3771.00,3690.00,3317.00
61000,0.00,3729.00,3681.00,3331.00
61100,0.00,3696.00,3706.00,3349.00
61200,0.00,3708.00,3715.00,3360.00
61300,1.00,3811.00,3713.00,3363.00
61400,1.00,3752.00,3732.00,3386.00
61500,1.00,3733.00,3750.00,3387.00
61600,0.00,3761.00,3761.00,3397.00
61700,0.00,3747.00,3761.00,3439.00
61800,1.00,3782.00,3788.00,3482.00
61900,0.00,3934.00,3786.00,3433.00
62000,0.00,3788.00,3815.00,3441.00
62100,0.00,3793.00,3853.00,3458.00
62200,0.00,3841.00,3859.00,3506.00
62300,1.00,3887.00,3844.00,3475.00
62400,1.00,3878.00,3850.00,3487.00
62500,0.00,4026.00,3882.00,3535.00
62600,0.00,3877.00,3894.00,3508.00
62700,0.00,3998.00,3894.00,3538.00
62800,0.00,3887.00,3910.00,3534.00
62900,0.00,3942.00,3913.00,3540.00
63000,0.00,3944.00,3929.00,3549.00
63100,0.00,3930.00,3936.00,3571.00
63200,0.00,3964.00,3946.00,3702.00
63300,1.00,4010.00,4082.00,3624.00
63400,2.00,4001.00,3980.00,3596.00
63500,0.00,3988.00,3986.00,3607.00
63600,0.00,4006.00,3999.00,3623.00
63700,1.00,3993.00,4013.00,3630.00
63800,0.00,4058.00,4024.00,3697.00
63900,0.00,4020.00,4054.00,3657.00
64000,1.00,4031.00,4051.00,3664.00
64100,1.00,4046.00,4088.00,3705.00
64200,0.00,4209.00,4088.00,3689.00
64300,0.00,4070.00,4088.00,3701.00
64400,0.00,4105.00,4105.00,3709.00
64500,0.00,4164.00,4117.00,3731.00
64600,0.00,4269.00,4151.00,3756.00
64700,0.00,4142.00,4172.00,3744.00
64800,1.00,4132.00,4166.00,3762.00
64900,0.00,4167.00,4172.00,3780.00
65000,1.00,4177.00,4197.00,3820.00
65100,0.00,4256.00,4222.00,3801.00
65200,0.00,4223.00,4221.00,3855.00
65300,0.00,4203.00,4221.00,3838.00
65400,0.00,4214.00,4233.00,3828.00
65500,0.00,4250.00,4242.00,3836.00
65600,1.00,4228.00,4268.00,3858.00
65700,1.00,4295.00,4359.00,3887.00
65800,0.00,4400.00,4303.00,3931.00
65900,1.00,4299.00,4290.00,3885.00
66000,0.00,4407.00,4315.00,3915.00
66100,0.00,4404.00,4319.00,3922.00
66200,1.00,4344.00,4332.00,3950.00
66300,1.00,4329.00,4375.00,3960.00
66400,1.00,4440.00,4359.00,3949.00
66500,0.00,4440.00,4377.00,3965.00
66600,1.00,4402.00,4396.00,4018.00
66700,0.00,4380.00,4407.00,3987.00
66800,2.00,4518.00,4427.00,3999.00
66900,0.00,4487.00,4442.00,4044.00
67000,0.00,4471.00,4449.00,4063.00
67100,0.00,4472.00,4481.00,4062.00
67200,0.00,5565.00,4855.00,4143.00
67300,0.00,4558.00,4508.00,4080.00
